domain,vertical,region,company,batch,stratum,n_article_urls,best_path,qualified,error,crawls
firstignite.com,software_saas,us,FirstIgnite,yc_directory,yc_directory,0,,False,,
ramsey-walker.com,services_other,us,Ramsey & Walker,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
modloft.com,ecommerce_retail,us,International Product Marketing,inc.com_api_i5list,inc.com_api_i5list,52,blog/,True,,
solalt.com,services_other,us,Solar Alternatives,inc.com_api_i5list,inc.com_api_i5list,14,blog/,False,,
kpghealthcare.com,health,us,KPG Healthcare,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
compatihc.com,health,us,Compati Home Health Care,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
totalexpert.com,fintech_insurance,us,Total Expert,inc.com_api_i5list,inc.com_api_i5list,76,blog/,True,,
skynethealthcare.com,health,us,Skynet Healthcare Technologies,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
changestaffing.com,services_other,us,ChangeStaffing,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
webgeoservices.com,devtools,eu,Web Geo Services,ft1000_wayback:20220301043147,ft1000_wayback:20220301043147,1,blog.,False,,
andrapartners.com,services_other,us,Andra Partners,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
truelinkfinancial.com,fintech_insurance,us,True Link Financial,inc.com_api_i5list,inc.com_api_i5list,68,blog/,True,,
launchdarkly.com,devtools,us,LaunchDarkly,g2.com_wayback,g2.com_wayback,130,blog/,True,,
outdoorlights.com,services_other,us,Outdoor Lighting Perspectives,inc.com_api_i5list,inc.com_api_i5list,39,blog/,True,,
fusiontek.com,services_other,us,FusionTek,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
asigma.fr,fintech_insurance,eu,Asigma,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,0,,False,,
idera.com,devtools,us,FusionCharts,g2.com_wayback,g2.com_wayback,163,blog.,True,,
hypnos.ai,services_other,us,Hypnos,yc_directory,yc_directory,0,,False,,
aibme.com,fintech_insurance,us,Atlas Insurance Brokers,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
futuralabs.io,health,us,FUTURA,yc_directory,yc_directory,0,,False,,
loanpro.io,fintech_insurance,us,LoanPro Software,inc.com_api_i5list,inc.com_api_i5list,46,blog/,True,,
refinetrain.ai,software_saas,us,RefineTrain AI,yc_directory,yc_directory,0,,False,,
decisionlink.com,software_saas,us,DecisionLink Corporation,inc.com_api_i5list,inc.com_api_i5list,159,blog/,True,,
fathomdb.com,devtools,us,FathomDB,yc_directory,yc_directory,0,,False,,
br.coffee,ecommerce_retail,us,Black Rock Coffee Bar,inc.com_api_i5list,inc.com_api_i5list,15,blog/,False,,
threadwallets.com,ecommerce_retail,us,Thread Wallets,inc.com_api_i5list,inc.com_api_i5list,189,blog/,True,,
jetpackaviation.com,services_other,us,JetPack Aviation,yc_directory,yc_directory,0,,False,,
bsicorporate.com,fintech_insurance,us,BSI Corporate Benefits,inc.com_api_i5list,inc.com_api_i5list,0,,False,,
beladentistry.com,health,us,Bela Family Dentistry,inc.com_api_i5list,inc.com_api_i5list,1,blog/,False,,
ltse.com,fintech_insurance,us,Long Term Stock Exchange,yc_directory,yc_directory,63,blog/,True,,
voiceops.com,software_saas,us,Voiceops,yc_directory,yc_directory,19,blog/,False,,
highkey.com,ecommerce_retail,us,HighKey,inc.com_api_i5list,inc.com_api_i5list,338,blog/,True,,
