domain,company,vertical,industry_raw,region,source,list_year
swappie.com,Swappie,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
kilo.co,Kilo Health,health,Health,eu,ft1000_wayback:20220301043147,2022
onlyfans.com,OnlyFans,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
thriva.co,Thriva,health,Health,uk,ft1000_wayback:20220301043147,2022
winelivery.com,Winelivery,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
onelease.fr,One Lease,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
datlasgroup.com,Datlas,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
zego.com,Zego,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
popsa.com,Popsa,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
unit8.com,Unit8,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
luotocompany.fi,Luoto Company,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
journiapp.com,Journi Print,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
portify.fr,Portify,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
rascalindustry.pl,Rascal Industry,ecommerce_retail,Fashion,eu,ft1000_wayback:20220301043147,2022
pegasosecurity.ae,Pegaso Security,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
tide.co,Tide,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
bold.co.uk,Bold Security Group,services_other,Support Services,uk,ft1000_wayback:20220301043147,2022
playmagnus.com,Play Magnus Group,software_saas,Games industry,eu,ft1000_wayback:20220301043147,2022
bluewhale.co.uk,Blue Whale Growth Fund,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
kazidomi.com,Kazidomi,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
sunfinance.group,Sun Finance,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022
credimi.com,Credimi,fintech_insurance,Financial Services,eu,ft1000_wayback:20220301043147,2022
sirplus.de,SIRPLUS,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
aihr.com,AIHR | Academy to Innovate HR,edtech,Education,eu,ft1000_wayback:20220301043147,2022
telemedi.biz,Telemedi,health,Health,eu,ft1000_wayback:20220301043147,2022
inkitt.com,Inkitt,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
wolframchain.nl,Wolfram Chain,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
eocharging.com,EO Charging,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
chetariffa.it,CheTariffa.it,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
simplyuk.co,Simply,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
salaryfinance.com,Salary Finance,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
tutlo.com,Tutlo,edtech,Education,eu,ft1000_wayback:20220301043147,2022
ponera.fr,Ponera,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
everflowutilities.com,Everflow,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
azureprism.com,Azure Prism,ecommerce_retail,Retail,uk,ft1000_wayback:20220301043147,2022
iproov.com,iProov,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
begreatshow.com,BeGreat,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
tsunaminutrition.com,Tsunami Nutrition,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
tessian.com,Tessian,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
solarisbank.de,Solarisbank,fintech_insurance,Financial Services,eu,ft1000_wayback:20220301043147,2022
eukon.it,Eukon,health,Health,eu,ft1000_wayback:20220301043147,2022
makingscience.com,Making Science,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
everli.com,Everli,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
appfollow.io,AppFollow,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
synerise.com,Synerise,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
efarma.com,eFarma.com,health,Pharmaceuticals,eu,ft1000_wayback:20220301043147,2022
elvie.com,Elvie,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
omnisend.com,Omnisend,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
trade.gov,World Trade Group,ecommerce_retail,Fashion,eu,ft1000_wayback:20220301043147,2022
besteam-conseil.com,BESTEAM Conseil,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
cyberiam.com,CyberIAM,devtools,Cyber Security,uk,ft1000_wayback:20220301043147,2022
ouihelp.fr,OUIHELP,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
inpay.com,Inpay,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022
qmee.com,Qmee,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
investa.de,Investa Dienstleistungen,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
baronihome.it,Baroni Home,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
dayshape.com,Dayshape,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
greyfood.com,Greyfood,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
fasanara.com,Fasanara Capital,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
ntechlab.com,NtechLab,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
fastnedcharging.com,Fastned,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
oxray.co,Oxray,health,Health,eu,ft1000_wayback:20220301043147,2022
abylon.io,Abylon Consulting,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
milrab.no,Milrab,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
urbantz.com,Urbantz,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
florence-one.com,Florence One,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
ergotopia.de,Ergotopia,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
filo.it,Filo,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
staffbase.com,Staffbase,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
treedom.net,Treedom,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
fenstermaxx24.com,Fenstermaxx24,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
delineate.ai,Delineate Strategy,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
increso.com,Increso,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
amity.ac.uk,Amity,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
regie-portage.fr,LA REGIE DE PORTAGE SALARIAL,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
appinio.com,Appinio,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
aer-trading.com,AER TRADING,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
valumen.com,VALUMEN,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
bolt.eu,Bolt,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
kiteworldshop.com,Kiteworldshop.com,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
templafy.com,Templafy,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
comservice.es,Comservice,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
