domain,company,vertical,industry_raw,region,source,list_year,stratum
swappie.com,Swappie,ecommerce_retail,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
thriva.co,Thriva,health,Health,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
onelease.fr,One Lease,fintech_insurance,Support Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
winelivery.com,Winelivery,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
kilo.co,Kilo Health,health,Health,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
onlyfans.com,OnlyFans,services_other,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
zego.com,Zego,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
popsa.com,Popsa,ecommerce_retail,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
unit8.com,Unit8,services_other,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
journiapp.com,Journi Print,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
rascalindustry.pl,Rascal Industry,ecommerce_retail,Fashion,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
pegasosecurity.ae,Pegaso Security,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
portify.fr,Portify,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
luotocompany.fi,Luoto Company,services_other,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
datlasgroup.com,Datlas,services_other,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
playmagnus.com,Play Magnus Group,edtech,Games industry,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
eocharging.com,EO Charging,services_other,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
sunfinance.group,Sun Finance,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
bluewhale.co.uk,Blue Whale Growth Fund,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
kazidomi.com,Kazidomi,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
sirplus.de,SIRPLUS,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
telemedi.biz,Telemedi,health,Health,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
bold.co.uk,Bold Security Group,services_other,Support Services,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
aihr.com,AIHR | Academy to Innovate HR,edtech,Education,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
tutlo.com,Tutlo,edtech,Education,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
salaryfinance.com,Salary Finance,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
simplyuk.co,Simply,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
iproov.com,iProov,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
tsunaminutrition.com,Tsunami Nutrition,health,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
everflowutilities.com,Everflow,services_other,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
chetariffa.it,CheTariffa.it,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
solarisbank.de,Solarisbank,fintech_insurance,Financial Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
tide.co,Tide,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
tessian.com,Tessian,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
ponera.fr,Ponera,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
synerise.com,Synerise,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
efarma.com,eFarma.com,health,Pharmaceuticals,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
appfollow.io,AppFollow,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
everli.com,Everli,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
omnisend.com,Omnisend,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
cyberiam.com,CyberIAM,services_other,Cyber Security,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
elvie.com,Elvie,health,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
investa.de,Investa Dienstleistungen,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
ouihelp.fr,OUIHELP,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
inpay.com,Inpay,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
baronihome.it,Baroni Home,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
dayshape.com,Dayshape,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
greyfood.com,Greyfood,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
qmee.com,Qmee,fintech_insurance,Technology,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
fastnedcharging.com,Fastned,services_other,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
milrab.no,Milrab,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
ntechlab.com,NtechLab,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
urbantz.com,Urbantz,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
fasanara.com,Fasanara Capital,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
begreatshow.com,BeGreat,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
abylon.io,Abylon Consulting,services_other,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
staffbase.com,Staffbase,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022,ft1000_wayback:20220301043147
