domain,company,vertical,industry_raw,region,source,list_year
100hires.com,100Hires,software_saas,Applicant Tracking Systems (ATS),,g2.com_wayback,2022
verifone.com,2Checkout (now Verifone),ecommerce_retail,E-Commerce Platforms,us,g2.com_wayback,2022
360learning.com,360Learning,edtech,Course Authoring,eu,g2.com_wayback,2022
app.7taps.com,7taps Microlearning,edtech,Course Authoring,,g2.com_wayback,2022
a2hosting.com,A2 Hosting,devtools,Continuous Integration,us,g2.com_wayback,2022
absolute.com,Absolute,software_saas,Endpoint Protection Suites,other,g2.com_wayback,2022
accelo.com,Accelo,software_saas,Project Management,us,g2.com_wayback,2022
accelq.com,ACCELQ,devtools,Continuous Integration,,g2.com_wayback,2022
activecampaign.com,ActiveCampaign,software_saas,CRM,us,g2.com_wayback,2022
acumatica.com,Acumatica,fintech_insurance,Accounting,,g2.com_wayback,2022
adobe.com,Adobe Acrobat DC,fintech_insurance,Billing,us,g2.com_wayback,2022
adp.com,ADP Workforce Now,software_saas,Core HR,,g2.com_wayback,2022
adverity.com,Adverity,software_saas,Data Visualization,eu,g2.com_wayback,2022
getitc.com,Agency Matrix,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
agencyanalytics.com,AgencyAnalytics,software_saas,Data Visualization,other,g2.com_wayback,2022
agencybloc.com,AgencyBloc,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
agencysmart.com,AgencySmart,fintech_insurance,Insurance Agency Management,,g2.com_wayback,2022
agorapulse.com,Agorapulse,devtools,ETL Tools,eu,g2.com_wayback,2022
aircall.io,Aircall,software_saas,Live Chat,us,g2.com_wayback,2022
airtable.com,Airtable,software_saas,Project Management,,g2.com_wayback,2022
aitrillion.com,AiTrillion,software_saas,Email Marketing,,g2.com_wayback,2022
allego.com,Allego,software_saas,Project Management,us,g2.com_wayback,2022
allscripts.com,Allscripts CareDirector,health,Patient Engagement,us,g2.com_wayback,2022
amcharts.com,amCharts,software_saas,Data Visualization,eu,g2.com_wayback,2022
vertafore.com,AMS360,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
americanwell.com,AmWell,health,Telemedicine,us,g2.com_wayback,2022
anydesk.com,AnyDesk,software_saas,Core HR,eu,g2.com_wayback,2022
appdynamics.com,AppDynamics,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
apple.com,Apple Pay for merchants,fintech_insurance,Payment Gateways,us,g2.com_wayback,2022
swipeclock.com,ApplicantStack,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
appliedsystems.com,Applied Epic,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
appypie.com,Appy Pie,software_saas,Live Chat,other,g2.com_wayback,2022
apspayroll.com,APS Core HR Solution,software_saas,Core HR,us,g2.com_wayback,2022
articulate.com,Articulate 360,edtech,Course Authoring,us,g2.com_wayback,2022
asana.com,Asana,software_saas,Project Management,us,g2.com_wayback,2022
atatus.com,Atatus,devtools,Application Performance Monitoring (APM),,g2.com_wayback,2022
auth0.com,Auth0,software_saas,Identity and Access Management (IAM),us,g2.com_wayback,2022
authorize.net,Authorize.net,fintech_insurance,Payment Gateways,us,g2.com_wayback,2022
autorabit.com,AutoRABIT,devtools,Continuous Integration,us,g2.com_wayback,2022
auzmor.com,Auzmor Learn,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
avast.com,Avast Endpoint Protection,software_saas,Endpoint Protection Suites,eu,g2.com_wayback,2022
avatier.com,Avatier Identity Anywhere,software_saas,Identity and Access Management (IAM),us,g2.com_wayback,2022
avaza.com,Avaza,fintech_insurance,Billing,other,g2.com_wayback,2022
avidxchange.com,AvidXchange,fintech_insurance,Billing,us,g2.com_wayback,2022
aweber.com,AWeber,software_saas,Email Marketing,us,g2.com_wayback,2022
aws.amazon.com,AWS CodePipeline,devtools,Continuous Integration,us,g2.com_wayback,2022
axure.com,Axure RP,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
news.microsoft.com,Azure Data Factory,devtools,ETL Tools,us,g2.com_wayback,2022
clarity.microsoft.com,Azure Pipelines,devtools,Continuous Delivery,us,g2.com_wayback,2022
atlassian.com,Bamboo,devtools,Continuous Integration,other,g2.com_wayback,2022
bamboohr.com,BambooHR,software_saas,Core HR,us,g2.com_wayback,2022
basecamp.com,Basecamp,software_saas,Project Management,us,g2.com_wayback,2022
bigcommerce.com,BigCommerce,ecommerce_retail,E-Commerce Platforms,us,g2.com_wayback,2022
bigtime.net,BigTime,fintech_insurance,Billing,us,g2.com_wayback,2022
bill.com,Bill.com,fintech_insurance,Billing,us,g2.com_wayback,2022
billsby.com,Billsby,fintech_insurance,Subscription Billing,other,g2.com_wayback,2022
birdeye.com,Birdeye,software_saas,Live Chat,us,g2.com_wayback,2022
bitdefender.com,Bitdefender GravityZone,software_saas,Endpoint Protection Suites,eu,g2.com_wayback,2022
bitrise.io,Bitrise,devtools,Continuous Integration,eu,g2.com_wayback,2022
blackboard.com,Blackboard Learn,edtech,Learning Management System (LMS),,g2.com_wayback,2021
blackline.com,BlackLine,fintech_insurance,Accounting,us,g2.com_wayback,2022
bloomreach.com,Bloomreach,software_saas,Marketing Automation,us,g2.com_wayback,2022
bluecore.com,Bluecore,software_saas,Email Marketing,us,g2.com_wayback,2022
home.bluesnap.com,BlueSnap,fintech_insurance,Payment Gateways,us,g2.com_wayback,2022
bolt.com,Bolt,fintech_insurance,Payment Gateways,us,g2.com_wayback,2022
braincert.com,BrainCert,edtech,Learning Management System (LMS),,g2.com_wayback,2021
brainshark.com,Brainshark,software_saas,Project Management,us,g2.com_wayback,2022
