domain,company,vertical,industry_raw,region,source,list_year
1-callstaffing.com,1-Call Staffing,services_other,Human Resources,us,inc.com_api_i5list,2019
100percentchiropractic.com,100% Chiropractic,health,Health Services,us,inc.com_api_i5list,2019
10llc.com,Group 10 Capital,services_other,Real Estate,us,inc.com_api_i5list,2019
10pearls.com,10Pearls,software_saas,Software,us,inc.com_api_i5list,2019
10thmagnitude.com,10th Magnitude,services_other,IT Services,us,inc.com_api_i5list,2019
10xgenomics.com,10x Genomics,health,Biotech,us,inc.com_api_i5list,2019
121corp.com,121 USA,services_other,"Advertising, Marketing & PR",us,inc.com_api_i5list,2019
123homecares.com,123 Home Care,health,Health Services,us,inc.com_api_i5list,2019
1800gotjunk.com,Freedom Capital,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
180engineering.com,180 Engineering,services_other,Human Resources,us,inc.com_api_i5list,2019
1851franchise.com,No Limit Agency,software_saas,Software,us,inc.com_api_i5list,2019
1choiceconstruction.com,1st Choice Construction Management,services_other,Construction,us,inc.com_api_i5list,2019
1linktechnology.com,1Link Technology,services_other,IT Services,us,inc.com_api_i5list,2019
1point21interactive.com,1Point21 Interactive,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
1sourcebusiness.com,1 Source Business Solutions,services_other,Human Resources,us,inc.com_api_i5list,2019
1stchoiceroofing.com,1st Choice Roofing Company,services_other,Construction,us,inc.com_api_i5list,2019
1stclassrealestate.com,1st Class Real Estate,services_other,Real Estate,us,inc.com_api_i5list,2019
2020teknology.com,2020 Teknology,services_other,IT Services,us,inc.com_api_i5list,2019
23rdgroup.com,23rd Group,services_other,Construction,us,inc.com_api_i5list,2019
24hrcares.com,24 Hour Home Care,health,Health Services,us,inc.com_api_i5list,2019
2a.consulting,2A Consulting,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
2ndfamily.com,2nd Family,health,Health Services,us,inc.com_api_i5list,2019
3-gis.com,3-GIS,services_other,Telecommunications,us,inc.com_api_i5list,2019
