domain,vertical,region,company,batch,stratum,n_article_urls,best_path,qualified,error,crawls
boalogistics.com,services_other,us,BOA Logistics,inc.com_api_i5list,inc.com_api_i5list,398,blog/,True,,
stickergiant.com,ecommerce_retail,us,StickerGiant,inc.com_api_i5list,inc.com_api_i5list,398,blog/,True,,
pivotint.com,services_other,us,Pivot International,inc.com_api_i5list,inc.com_api_i5list,396,blog/,True,,
berndtcpa.com,services_other,us,Berndt CPA,inc.com_api_i5list,inc.com_api_i5list,395,blog/,True,,
zerodown.com,other,us,ZeroDown,Winter 2019,yc,394,blog/,True,,
skyriverit.com,services_other,us,Skyriver IT,inc.com_api_i5list,inc.com_api_i5list,391,blog/,True,,
ruby.com,services_other,us,Ruby,inc.com_api_i5list,inc.com_api_i5list,388,blog/,True,,
givemetap.com,ecommerce_retail,eu,GiveMeTap,yc_directory,yc_directory,382,blog/,True,,
cybersecurityintelligence.com,services_other,eu,Radar Cyber Security,ft1000_wayback:20220301043147,ft1000_wayback:20220301043147,382,blog/,True,,
splendidspoon.com,ecommerce_retail,us,Splendid Spoon,inc.com_api_i5list,inc.com_api_i5list,379,blog/,True,,
fundrise.com,fintech_insurance,us,Fundrise,inc.com_api_i5list,inc.com_api_i5list,377,blog.,True,,
about.gitlab.com,devtools,,GitLab,g2.com_wayback,g2.com_wayback,377,blog/,True,,
cyberark.com,software_saas,us,CyberArk Identity (formerly Idaptive),g2.com_wayback,g2.com_wayback,377,blog/,True,,
beyondtrust.com,software_saas,us,BeyondTrust,inc.com_api_i5list,inc.com_api_i5list,376,blog/,True,,
matterport.com,ecommerce,us,Matterport,Winter 2012,yc,374,blog/,True,,
edenworkplace.com,saas,us,Eden,Summer 2015,yc,374,blog/,True,,
thedailygraceco.com,ecommerce_retail,us,The Daily Grace Co.,inc.com_api_i5list,inc.com_api_i5list,374,blog/,True,,
renthop.com,ecommerce,us,RentHop,Summer 2009,yc,370,blog/,True,,
verbling.com,other,us,Verbling,Summer 2011,yc,367,articles/,True,,
gochirp.com,health,us,Chirp,inc.com_api_i5list,inc.com_api_i5list,367,blog/,True,,
scrimba.com,edtech,eu,Scrimba,yc_directory,yc_directory,362,blog.,True,,
oxylabs.io,devtools,eu,Oxylabs.io,ft1000_wayback:20220301043147,ft1000_wayback:20220301043147,355,blog/,True,,
lendingworks.co.uk,fintech_insurance,uk,Lending Works,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,353,blog/,True,,
wyndly.com,ecommerce,us,Wyndly,Winter 2021,yc,353,blog/,True,,
okcredit.in,fintech,us,OkCredit,Summer 2018,yc,351,blog/,True,,
goekos.com,software_saas,us,Ekos,inc.com_api_i5list,inc.com_api_i5list,345,blog/,True,,
rakenapp.com,services_other,us,Raken DEACTIVATED,inc.com_api_i5list,inc.com_api_i5list,342,blog/,True,,
skinbylovely.com,health,us,Skin by Lovely,inc.com_api_i5list,inc.com_api_i5list,341,blog/,True,,
zerocater.com,saas,us,Zerocater,Winter 2011,yc,341,blog/,True,,
elearningbrothers.com,edtech,us,eLearning Brothers,inc.com_api_i5list,inc.com_api_i5list,340,blog/,True,,
avatier.com,software_saas,us,Avatier Identity Anywhere,g2.com_wayback,g2.com_wayback,340,blog/,True,,
highkey.com,ecommerce_retail,us,HighKey,inc.com_api_i5list,inc.com_api_i5list,338,blog/,True,,
